|R01|00000000000000000001|S|IF     |SWEDA               |IF ST200            |01.00.01  |20101030|185909|000|10793118000178|123456        |10793118000178|00000000ISENTO|00000000ISENTO|T2TI.COM                                |T2Ti PDV                                |0100      |9e107d9d372bb6826bd81d3542a419d6|20101030|20101030|0105
|R02|00000000000000000001|S|IF ST200            |01|000000|000026|000002|36101028|36101028||1005,70| 
|R04|00000000000000000001|S|IF ST200            |01|000172|000172|20100930|42,60|0,00|V|0,00|V|42,60|N|0,00|D|PEDRO JUAREZ                            |00022222222222
|R04|00000000000000000001|S|IF ST200            |01|000173|000173|20100930|146,60|46,60|V|0,00|V|100,00|N|0,00|D|PEDRO JUAREZ                            |00022222222222
|R04|00000000000000000001|S|IF ST200            |01|000174|000174|20100930|42,60|2,13|V|0,00|V|40,47|N|0,00|D|PEDRO JUAREZ                            |00022222222222
|R04|00000000000000000001|S|IF ST200            |01|000175|000175|20100930|42,60|0,00|V|7,40|V|50,00|N|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000176|000176|20100930|690,60|0,00|V|0,00|V|0,00|S|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000177|000177|20100930|33,00|0,00|V|0,00|V|33,00|N|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000178|000178|20100930|27,00|0,00|V|0,00|V|27,00|N|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000179|000179|20100930|60,00|0,00|V|0,00|V|60,00|N|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000180|000180|20100930|100,00|0,00|V|0,00|V|100,00|N|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000181|000181|20100930|175,60|0,00|V|0,00|V|0,00|S|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000182|000182|20100930|133,00|0,00|V|0,00|V|133,00|N|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000183|000183|20100930|133,00|0,00|V|0,00|V|0,00|S|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000184|000184|20100930|133,00|0,00|V|0,00|V|133,00|N|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000185|000185|20100930|133,00|0,00|V|0,00|V|133,00|N|0,00|D|MARCUS VINIIUS                          |00011111111111
|R04|00000000000000000001|S|IF ST200            |01|000186|000186|20100930|133,00|0,00|V|0,00|V|133,00|N|0,00|D|ALBERT EIJE                             |00061363944304
|R04|00000000000000000001|S|IF ST200            |01|000187|000187|20100930|133,00|33,00|V|0,00|V|100,00|N|0,00|D|ALBERT EIJE                             |00061363944304
|R04|00000000000000000001|S|IF ST200            |01|000188|000188|20100930|133,00|13,30|V|0,00|V|119,70|N|0,00|D|ALBERT EIJE                             |00061363944304
|R04|00000000000000000001|S|IF ST200            |01|000189|000189|20100930|1302,60|0,00|V|0,00|V|1302,60|N|0,00|D|ALBERT EIJE                             |00061363944304
|R04|00000000000000000001|S|IF ST200            |01|000190|000190|20100930|4,00|0,00|V|0,00|V|4,00|N|0,00|D|ALBERT EIJE                             |00061363944304
|R04|00000000000000000001|S|IF ST200            |01|000191|000191|20100930|1533,00|0,00|V|0,00|V|1533,00|N|0,00|D|ALBERT EIJE                             |00061363944304
|R04|00000000000000000001|S|IF ST200            |01|000192|000192|20100930|133,00|33,00|V|0,00|V|100,00|N|0,00|D|ALBERT EIJE                             |00061363944304
|R04|00000000000000000001|S|IF ST200            |01|000193|000193|20100930|133,00|0,00|V|0,00|V|133,00|N|0,00|D|MARCUS VINIIUS                          |00011111111111
|R04|00000000000000000001|S|IF ST200            |01|000194|000194|20100930|133,00|10,64|V|0,00|V|122,36|N|0,00|D|MARCUS VINIIUS                          |00011111111111
|R04|00000000000000000001|S|IF ST200            |01|000195|000195|20100930|133,00|0,00|V|17,00|V|150,00|N|0,00|D|MARCUS VINIIUS                          |00011111111111
|R04|00000000000000000001|S|IF ST200            |01|000196|000196|20100930|33,00|0,00|V|0,00|V|0,00|S|0,00|D|MARCUS VINIIUS                          |00011111111111
|R04|00000000000000000001|S|IF ST200            |01|000197|000197|20100930|27,00|0,00|V|0,00|V|0,00|S|0,00|D|MARCUS VINIIUS                          |00011111111111
|R04|00000000000000000001|S|IF ST200            |01|000198|000198|20100930|60,00|0,00|V|0,00|V|60,00|N|0,00|D|MARCUS VINIIUS                          |00011111111111
|R04|00000000000000000001|S|IF ST200            |01|000199|000199|20100930|100,00|0,00|V|0,00|V|100,00|N|0,00|D|MARCUS VINIIUS                          |00011111111111
|R04|00000000000000000001|S|IF ST200            |01|000201|000201|20101001|0,00|0,00|V|0,00|V|0,00|S|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000202|000202|20101001|0,00|0,00|V|0,00|V|0,00|S|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000203|000203|20101001|2527,00|0,00|V|0,00|V|0,00|S|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000204|000204|20101001|133,00|0,00|V|0,00|V|0,00|S|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000205|000205|20101001|133,00|0,00|V|0,00|V|0,00|S|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000206|000206|20101001|0,00|0,00|V|0,00|V|0,00|S|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000207|000207|20101001|0,00|0,00|V|0,00|V|0,00|S|0,00|D|ADRIANO PEDROSA E LIMA                  |00033333333333
|R04|00000000000000000001|S|IF ST200            |01|000208|000208|20101001|117,50|0,00|V|0,00|V|117,50|N|0,00|D|ADRIANO PEDROSA E LIMA                  |00033333333333
|R04|00000000000000000001|S|IF ST200            |01|000209|000209|20101001|27,00|0,00|V|0,00|V|0,00|S|0,00|D|ADRIANO PEDROSA E LIMA                  |00033333333333
|R04|00000000000000000001|S|IF ST200            |01|000210|000210|20101003|42,60|0,00|V|0,00|V|42,60|N|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000211|000211|20101004|42,60|0,00|V|0,00|V|0,00|S|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000212|000212|20101004|32,00|0,00|V|0,00|V|32,00|N|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000213|000213|20101004|226,30|0,00|V|0,00|V|226,30|N|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000214|000214|20101004|42,60|0,00|V|0,00|V|42,60|N|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000215|000215|20101004|42,60|0,00|V|0,00|V|42,60|N|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000222|000378|20101024|0,00|0,00|V|0,00|V|0,00|S|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000223|000379|20101024|0,00|0,00|V|0,00|V|0,00|S|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000224|000380|20101024|0,00|0,00|V|0,00|V|0,00|S|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000225|000381|20101024|0,00|0,00|V|0,00|V|0,00|N|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000226|000382|20101024|0,00|0,00|V|0,00|V|0,00|N|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000227|000383|20101024|0,00|0,00|V|0,00|V|0,00|S|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000228|000384|20101024|0,00|0,00|V|0,00|V|0,00|S|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000229|000385|20101024|0,00|0,00|V|0,00|V|0,00|S|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000230|000386|20101024|0,00|0,00|V|0,00|V|0,00|N|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000231|000387|20101024|0,00|0,00|V|0,00|V|0,00|S|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000232|000388|20101024|0,00|0,00|V|0,00|V|0,00|S|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000233|000389|20101024|0,00|0,00|V|0,00|V|0,00|S|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000234|000390|20101024|0,00|0,00|V|0,00|V|0,00|S|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000235|000391|20101024|0,00|0,00|V|0,00|V|0,00|S|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000236|000392|20101024|0,00|0,00|V|0,00|V|0,00|S|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000237|000393|20101024|0,00|0,00|V|0,00|V|0,00|S|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000238|000394|20101024|0,00|0,00|V|0,00|V|0,00|S|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000239|000395|20101024|0,00|0,00|V|0,00|V|0,00|S|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000240|000396|20101024|0,00|0,00|V|0,00|V|0,00|S|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000241|000397|20101024|0,00|0,00|V|0,00|V|0,00|S|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000242|000398|20101024|0,00|0,00|V|0,00|V|0,00|S|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000243|000399|20101024|0,00|0,00|V|0,00|V|0,00|S|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000244|000400|20101024|0,00|0,00|V|0,00|V|0,00|S|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000245|000401|20101024|0,00|0,00|V|0,00|V|0,00|S|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000246|000402|20101024|0,00|0,00|V|0,00|V|0,00|S|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000247|000403|20101024|0,00|0,00|V|0,00|V|0,00|S|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000253|000410|20101026|1,90|0,00|V|0,00|V|1,90|N|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000255|000412|20101026|2,00|0,00|V|0,00|V|2,00|N|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000255|000414|20101025|0,00|0,00|V|0,00|V|0,00|S|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000256|000413|20101026|2,00|0,00|V|0,00|V|2,00|N|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000256|000415|20101025|0,00|0,00|V|0,00|V|0,00|S|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000257|000414|20101026|2,00|0,00|V|0,00|V|2,00|N|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000257|000416|20101025|0,00|0,00|V|0,00|V|0,00|S|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000258|000415|20101026|5,80|0,00|V|0,00|V|0,00|S|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000258|000417|20101025|0,00|0,00|V|0,00|V|0,00|S|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000259|000416|20101026|5,80|0,00|V|0,00|V|5,80|N|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000259|000418|20101025|0,00|0,00|V|0,00|V|0,00|S|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000260|000417|20101026|5,80|0,00|V|0,00|V|5,80|N|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000260|000419|20101025|0,00|0,00|V|0,00|V|0,00|S|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000261|000418|20101026|5,80|0,00|V|0,00|V|5,80|N|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000261|000420|20101025|0,00|0,00|V|0,00|V|0,00|S|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000262|000419|20101026|5,80|0,00|V|0,00|V|0,00|S|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000262|000421|20101025|0,00|0,00|V|0,00|V|0,00|S|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000263|000420|20101026|5,80|0,00|V|0,00|V|5,80|N|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000263|000422|20101025|0,00|0,00|V|0,00|V|0,00|S|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000264|000421|20101026|5,80|0,00|V|0,00|V|5,80|N|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000264|000423|20101025|0,00|0,00|V|0,00|V|0,00|S|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000265|000422|20101026|58,00|0,00|V|0,00|V|58,00|N|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000265|000424|20101025|0,00|0,00|V|0,00|V|0,00|S|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000266|000425|20101025|0,00|0,00|V|0,00|V|0,00|S|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000267|000426|20101025|0,00|0,00|V|0,00|V|0,00|S|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000268|000426|20101026|5,80|0,00|V|0,00|V|5,80|N|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000268|000427|20101025|0,00|0,00|V|0,00|V|0,00|S|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000269|000427|20101026|5,80|0,00|V|0,00|V|5,80|N|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000269|000428|20101025|0,00|0,00|V|0,00|V|0,00|S|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000270|000428|20101026|5,80|0,00|V|0,00|V|5,80|N|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000270|000429|20101025|0,00|0,00|V|0,00|V|0,00|S|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000271|000430|20101025|0,00|0,00|V|0,00|V|0,00|S|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000272|000430|20101026|5,80|0,00|V|0,00|V|5,80|N|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000272|000431|20101025|0,00|0,00|V|0,00|V|0,00|S|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000273|000432|20101025|0,00|0,00|V|0,00|V|0,00|S|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000274|000432|20101026|5,80|0,00|V|0,00|V|5,80|N|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000274|000433|20101025|0,00|0,00|V|0,00|V|0,00|S|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000275|000434|20101025|0,00|0,00|V|0,00|V|0,00|S|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000276|000434|20101026|29,80|0,00|V|0,00|V|29,80|N|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000276|000435|20101025|0,00|0,00|V|0,00|V|0,00|S|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000277|000435|20101026|29,80|0,00|V|0,00|V|29,80|N|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000277|000436|20101025|0,00|0,00|V|0,00|V|0,00|S|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000278|000437|20101025|0,00|0,00|V|0,00|V|0,00|S|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000279|000438|20101025|0,00|0,00|V|0,00|V|0,00|S|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000280|000439|20101025|0,00|0,00|V|0,00|V|0,00|S|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000281|000440|20101025|0,00|0,00|V|0,00|V|0,00|S|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000282|000440|20101026|133,00|0,00|V|0,00|V|133,00|N|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000282|000441|20101025|0,00|0,00|V|0,00|V|0,00|S|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000283|000442|20101025|0,00|0,00|V|0,00|V|0,00|S|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000283|000442|20101026|133,00|0,00|V|0,00|V|133,00|N|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000284|000443|20101025|0,00|0,00|V|0,00|V|0,00|S|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000284|000444|20101026|133,00|0,00|V|0,00|V|0,00|S|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000285|000444|20101025|0,00|0,00|V|0,00|V|0,00|S|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000285|000445|20101026|133,00|0,00|V|0,00|V|133,00|N|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000286|000445|20101025|0,00|0,00|V|0,00|V|0,00|S|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000287|000446|20101025|0,00|0,00|V|0,00|V|0,00|S|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000287|000448|20101026|133,00|0,00|V|0,00|V|133,00|N|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000288|000450|20101026|133,00|0,00|V|0,00|V|133,00|N|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000289|000452|20101026|133,00|0,00|V|0,00|V|133,00|N|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000290|000449|20101025|0,00|0,00|V|0,00|V|0,00|S|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000290|000453|20101026|133,00|0,00|V|0,00|V|133,00|N|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000291|000450|20101025|0,00|0,00|V|0,00|V|0,00|S|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000292|000451|20101025|15005,80|0,00|V|0,00|V|0,00|S|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000293|000458|20101026|133,00|0,00|V|0,00|V|133,00|N|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000294|000460|20101026|133,00|0,00|V|0,00|V|133,00|N|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000295|000462|20101026|133,00|0,00|V|0,00|V|133,00|N|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000296|000464|20101026|133,00|0,00|V|0,00|V|133,00|N|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000297|000466|20101026|133,00|0,00|V|0,00|V|133,00|N|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000298|000467|20101026|133,00|0,00|V|0,00|V|0,00|S|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000299|000468|20101026|133,00|0,00|V|0,00|V|133,00|N|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000300|000469|20101026|133,00|0,00|V|0,00|V|133,00|N|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000301|000470|20101026|133,00|0,00|V|0,00|V|133,00|N|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000302|000471|20101026|133,00|0,00|V|0,00|V|133,00|N|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000303|000473|20101026|133,00|0,00|V|0,00|V|133,00|N|0,00|D|MARCUS VINIIUS                          |00011111111111
|R04|00000000000000000001|S|IF ST200            |01|000304|000463|20101025|1,50|0,00|V|0,00|V|0,00|S|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000304|000474|20101026|133,00|0,00|V|0,00|V|0,00|S|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000305|000464|20101025|1,50|0,00|V|0,00|V|0,00|S|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000305|000475|20101026|133,00|0,00|V|0,00|V|0,00|S|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000306|000465|20101025|1,50|0,00|V|0,00|V|0,00|S|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000306|000476|20101026|133,00|0,00|V|0,00|V|133,00|N|0,00|D|ADRIANO PEDROSA E LIMA                  |00033333333333
|R04|00000000000000000001|S|IF ST200            |01|000307|000466|20101025|1,50|0,00|V|0,00|V|0,00|S|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000307|000477|20101026|133,00|0,00|V|0,00|V|133,00|N|0,00|D|ADRIANO PEDROSA E LIMA                  |00033333333333
|R04|00000000000000000001|S|IF ST200            |01|000307|000488|20101027|399,00|0,00|V|0,00|V|0,00|S|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000308|000467|20101025|1,50|0,00|V|0,00|V|0,00|S|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000309|000468|20101025|1,50|0,00|V|0,00|V|0,00|S|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000310|000469|20101025|1,50|0,00|V|0,00|V|0,00|S|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000311|000470|20101025|1,50|0,00|V|0,00|V|0,00|S|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000312|000471|20101025|1,50|0,00|V|0,00|V|0,00|S|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000314|000473|20101025|1,50|0,00|V|0,00|V|0,00|S|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000315|000474|20101025|1,50|0,00|V|0,00|V|0,00|S|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000316|000475|20101025|1,50|0,00|V|0,00|V|0,00|S|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000317|000476|20101025|1,50|0,00|V|0,00|V|0,00|S|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000318|000477|20101025|1,50|0,00|V|0,00|V|0,00|S|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000320|000479|20101025|1,50|0,00|V|0,00|V|0,00|S|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000321|000480|20101025|1,50|0,00|V|0,00|V|0,00|S|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000322|000481|20101025|1,50|0,00|V|0,00|V|0,00|S|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000323|000482|20101025|1,50|0,00|V|0,00|V|0,00|S|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000324|000483|20101025|1,50|0,00|V|0,00|V|0,00|S|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000329|000488|20101025|1,50|0,00|V|0,00|V|0,00|S|0,00|D|                                        |00000000000000
|R04|00000000000000000001|S|IF ST200            |01|000331|000491|20101025|0,00|0,00|V|0,00|V|0,00|N|0,00|D|                                        |00000000000000
|R05|00000000000000000001|S|IF ST200            |01|000000|000000|000|0001170000005 |BORRACHA PLASTICA - TK PEQUENA                                                                      |1,00|UND|0,70|0,00|0,00|0,00|       | |0,00|0,00|0,00|A|T|3|2
|R05|00000000000000000001|S|IF ST200            |01|000000|000000|000|0001170000005 |BORRACHA PLASTICA - TK PEQUENA                                                                      |1,00|UND|0,70|0,00|0,00|0,00|       | |0,00|0,00|0,00|A|T|3|2
|R05|00000000000000000001|S|IF ST200            |01|000000|000000|000|0001170000005 |BORRACHA PLASTICA - TK PEQUENA                                                                      |1,00|UND|0,70|0,00|0,00|0,00|       | |0,00|0,00|0,00|A|T|3|2
|R05|00000000000000000001|S|IF ST200            |01|000000|000000|000|0001170000005 |BORRACHA PLASTICA - TK PEQUENA                                                                      |1,00|UND|0,70|0,00|0,00|0,00|       | |0,00|0,00|0,00|A|T|3|2
|R05|00000000000000000001|S|IF ST200            |01|000000|000000|000|0001170000005 |BORRACHA PLASTICA - TK PEQUENA                                                                      |1,00|UND|0,70|0,00|0,00|0,00|       | |0,00|0,00|0,00|A|T|3|2
|R05|00000000000000000001|S|IF ST200            |01|000000|000000|000|0001170000005 |BORRACHA PLASTICA - TK PEQUENA                                                                      |1,00|UND|0,70|0,00|0,00|0,00|       | |0,00|0,00|0,00|A|T|3|2
|R05|00000000000000000001|S|IF ST200            |01|000000|000000|000|0001170000005 |BORRACHA PLASTICA - TK PEQUENA                                                                      |1,00|UND|0,70|0,00|0,00|0,00|       | |0,00|0,00|0,00|A|T|3|2
|R05|00000000000000000001|S|IF ST200            |01|000000|000000|000|0001180000002 |BORRACHA PLASTICA - TK GRANDE                                                                       |1,00|UND|2,00|0,00|0,00|0,00|       | |0,00|0,00|0,00|A|T|3|2
|R05|00000000000000000001|S|IF ST200            |01|000000|000000|000|0001180000002 |BORRACHA PLASTICA - TK GRANDE                                                                       |1,00|UND|2,00|0,00|0,00|0,00|       | |0,00|0,00|0,00|A|T|3|2
|R05|00000000000000000001|S|IF ST200            |01|000000|000000|000|0001180000002 |BORRACHA PLASTICA - TK GRANDE                                                                       |4,00|UND|2,00|0,00|0,00|0,00|       | |0,00|0,00|0,00|A|T|3|2
|R05|00000000000000000001|S|IF ST200            |01|000000|000000|000|0001190000009 |BORRACHA PLASTICA - TK NEON                                                                         |1,00|UND|1,50|0,00|0,00|0,00|       | |0,00|0,00|0,00|A|T|3|2
|R05|00000000000000000001|S|IF ST200            |01|000000|000000|000|0001190000009 |BORRACHA PLASTICA - TK NEON                                                                         |90,00|UND|1,50|0,00|0,00|0,00|       | |0,00|0,00|0,00|A|T|3|2
|R05|00000000000000000001|S|IF ST200            |01|000000|000000|000|0001234567898 |FITA PAPEL CREPE                                                                                    |1,00|UND|5,80|0,00|0,00|0,00|       | |0,00|0,00|0,00|A|T|3|2
|R05|00000000000000000001|S|IF ST200            |01|000000|000000|000|0001234567898 |FITA PAPEL CREPE                                                                                    |1,00|UND|5,80|0,00|0,00|0,00|       | |0,00|0,00|0,00|A|T|3|2
